Word,Value,Tweet_id
faggots,0.31128335246598565,13443541_gab
kill,0.1195847485785324,13443541_gab
freeing,-0.10770350815845993,13443541_gab
girl,-0.07679366515944991,13443541_gab
to,-0.06995186491113264,13443541_gab
so,0.0630395921787771,13443541_gab
everyone,0.0617647090974576,13443541_gab
evil,0.05391661021987635,13443541_gab
later,0.05298797008892389,13443541_gab
was,-0.05229372669069398,13443541_gab
who,0.03923265892382693,13443541_gab
exposed,0.03883907326347851,13443541_gab
couple,-0.030879259647745932,13443541_gab
a,-0.03085404171888957,13443541_gab
word,-0.02286235687366029,13443541_gab
that,0.02163576445684745,13443541_gab
these,-0.018278137545397605,13443541_gab
shooters,-0.011707425068293566,13443541_gab
multiple,0.007100149826281137,13443541_gab
here,-0.0032305363302064898,13443541_gab
this,-0.012216022122998747,1095376480274735105_twitter
hate,-0.008886527073206559,1095376480274735105_twitter
game,-0.006430812656121414,1095376480274735105_twitter
i,-0.005753755089593104,1095376480274735105_twitter
fucking,0.005683505117853906,1095376480274735105_twitter
hahaha,-0.002035382127065141,1146008465581547521_twitter
me,-0.0013069290592693595,1146008465581547521_twitter
user,-0.0007123455899356528,1146008465581547521_twitter
blocked,-0.0005918191715407035,1146008465581547521_twitter
dumb,-0.0005057976041634193,1146008465581547521_twitter
bitch,-0.00043081603366100247,1146008465581547521_twitter
speech,-0.0014639743712015969,24752762_gab
amendment,0.0011793583564953549,24752762_gab
is,-0.001031984330943988,24752762_gab
our,-0.0007216816250873577,24752762_gab
violence,-0.0006642705193665822,24752762_gab
for,0.00051147860547269,24752762_gab
their,-0.0005039271106507876,24752762_gab
not,-0.0004611877924560578,24752762_gab
thee,-0.00030980231267965433,24752762_gab
me,6.486015018023518e-05,24752762_gab
and,-5.2899602446464896e-05,24752762_gab
first,-4.34485638416395e-05,24752762_gab
jews,0.012689887215185013,22456269_gab
but,0.00911702576497948,22456269_gab
nehlen,0.005279840466850931,22456269_gab
tho,0.0039388675441062795,22456269_gab
paul,-0.0025827991091256822,22456269_gab
criticized,-0.0006188080886425553,22456269_gab
european,0.02038086962810859,9727340_gab
tyranny,0.009299216912304816,9727340_gab
invaders,0.00921901621040379,9727340_gab
families,-0.008888430630264564,9727340_gab
westernvalues,0.00874465112077314,9727340_gab
freedom,-0.007605838580261801,9727340_gab
white,0.006154967358002663,9727340_gab
right,0.006110105715421101,9727340_gab
immigrants,-0.005440403375910548,9727340_gab
family,0.005143659087492801,9727340_gab
is,-0.004221900845213424,9727340_gab
describe,-0.004135182724306615,9727340_gab
people,-0.0037638210070906177,9727340_gab
protect,0.0036905646258028587,9727340_gab
willing,-0.003294371021426147,9727340_gab
our,0.002984346277426496,9727340_gab
up,0.0029027760608051232,9727340_gab
are,0.002810640973450796,9727340_gab
stand,0.0021776389526874584,9727340_gab
who,-0.0012059249276121997,9727340_gab
jews,0.15857266430801187,27478936_gab
holocaust,0.12759785141000043,27478936_gab
will,0.08822109362463675,27478936_gab
its,-0.07237122538462676,27478936_gab
for,0.049365303131539674,27478936_gab
bye,-0.044164207466328737,27478936_gab
their,-0.04032299256582366,27478936_gab
if,0.03139732279207458,27478936_gab
good,-0.024336508634078182,27478936_gab
tommy,0.019158187384172132,27478936_gab
jew,0.015637320921868102,27478936_gab
of,-0.012279374190492433,27478936_gab
the,0.006865068913011548,27478936_gab
own,-0.003188490309067047,27478936_gab
one,-0.0014458044781637223,27478936_gab
honky,0.0035447449280878686,10068208_gab
user,-0.002456038275957542,10068208_gab
city,-0.0020917770282513535,10068208_gab
ball,0.001991364911684633,10068208_gab
could,-0.0017990996362678023,10068208_gab
a,0.0016823613186939214,10068208_gab
is,-0.0016727105514427383,10068208_gab
packed,-0.0013947370290353252,10068208_gab
was,0.0010144726741630789,10068208_gab
see,-0.0008886110903709,10068208_gab
to,-0.000807898186537041,10068208_gab
as,-0.000654259091224638,10068208_gab
i,0.0005978881894623474,10068208_gab
majority,0.0004463143124430134,10068208_gab
truly,-0.00044302354600675746,10068208_gab
with,-0.00044044511509586093,10068208_gab
it,-0.000425425624185488,10068208_gab
far,0.0003963066867250365,10068208_gab
the,0.00039176144295428075,10068208_gab
yesterday,0.0002950394415964336,10068208_gab
chinese,-0.06091769527550973,12861638_gab
koreans,0.045560917965796054,12861638_gab
japanese,-0.038977562627576234,12861638_gab
maybe,0.02390615408321753,12861638_gab
jews,0.023418145124199555,12861638_gab
ethnic,-0.022780396920238248,12861638_gab
tolerable,0.02263312979000903,12861638_gab
hapas,-0.02246229792824728,12861638_gab
indians,0.022375694066788628,12861638_gab
mezistos,0.021000464626075376,12861638_gab
south,-0.01850595199825352,12861638_gab
greek,-0.018363771906628665,12861638_gab
italians,-0.018245935624755877,12861638_gab
east,-0.017347888845839092,12861638_gab
enemies,-0.011569021140621997,12861638_gab
slavs,0.011286878269905307,12861638_gab
central,-0.010698165038485094,12861638_gab
asians,0.0077368977430112475,12861638_gab
mixes,0.0072233453705873455,12861638_gab
mulatos,-0.007154332155319002,12861638_gab
muslims,0.05673025838814487,1248575708726792192_twitter
towards,-0.03192769177656893,1248575708726792192_twitter
evil,0.0258321778488599,1248575708726792192_twitter
fish,0.022368627884473424,1248575708726792192_twitter
his,-0.017395992921571055,1248575708726792192_twitter
eating,0.01660957496440754,1248575708726792192_twitter
who,0.015044637796678115,1248575708726792192_twitter
indiashatevirus,0.013841893945563025,1248575708726792192_twitter
the,0.011731575619706022,1248575708726792192_twitter
one,0.00871003169005439,1248575708726792192_twitter
just,-0.008233793761986302,1248575708726792192_twitter
modi,0.008045268795165943,1248575708726792192_twitter
because,-0.007842021935305867,1248575708726792192_twitter
of,-0.007563166039999544,1248575708726792192_twitter
is,-0.0046931340164677576,1248575708726792192_twitter
